"Source:","/home/vserra/telescope_encoder/telescope_encoder.kicad_sch"
"Date:","So 08 Mai 2022 20:25:37 CEST"
"Tool:","Eeschema (6.0.4)"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","9"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","10 µF","Device:C","Capacitor_THT:CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal","~"
"","","C2","100 nF","Device:C","Capacitor_THT:CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal","~"
"","","J1","Conn_01x04_Male","Connector:Conn_01x04_Male","Connector_Pin:Pin_D0.7mm_L6.5mm_W1.8mm_FlatFork","~"
"","","J2","Conn_01x02_Male","Connector:Conn_01x02_Male","Connector_Pin:Pin_D0.7mm_L6.5mm_W1.8mm_FlatFork","~"
"","","R1","10 kΩ","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~"
"","","R2","10 kΩ","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~"
"","","R3","10 kΩ","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~"
"","","R4","10 kΩ","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~"
"","","U1","AS5048B","Sensor_Magnetic:AS5048B","Package_SO:TSSOP-14_4.4x5mm_P0.65mm","https://ams.com/documents/20143/36005/AS5048_DS000298_4-00.pdf"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","1","C1","10 µF","Device:C","Capacitor_THT:CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal","~"
"2","1","C2","100 nF","Device:C","Capacitor_THT:CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal","~"
"3","1","J1","Conn_01x04_Male","Connector:Conn_01x04_Male","Connector_Pin:Pin_D0.7mm_L6.5mm_W1.8mm_FlatFork","~"
"4","1","J2","Conn_01x02_Male","Connector:Conn_01x02_Male","Connector_Pin:Pin_D0.7mm_L6.5mm_W1.8mm_FlatFork","~"
"5","4","R1, R2, R3, R4","10 kΩ","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~"
"6","1","U1","AS5048B","Sensor_Magnetic:AS5048B","Package_SO:TSSOP-14_4.4x5mm_P0.65mm","https://ams.com/documents/20143/36005/AS5048_DS000298_4-00.pdf"
